period,state,stateName,technology,sector,sectorName,capacity,customers,capacity-units,customers-units
2024,AK,Alaska,All Technologies,COM,commercial,2.646,242,megawatts,number of customers
2024,AK,Alaska,All Technologies,IND,industrial,.121,9,megawatts,number of customers
2024,AK,Alaska,All Technologies,RES,residential,14.421,2771,megawatts,number of customers
2024,AK,Alaska,All Technologies,TOT,all sectors,17.188,3022,megawatts,number of customers
2024,AK,Alaska,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,AL,Alabama,All Technologies,COM,commercial,.522,6,megawatts,number of customers
2024,AL,Alabama,All Technologies,IND,industrial,0,0,megawatts,number of customers
2024,AL,Alabama,All Technologies,RES,residential,.871,77,megawatts,number of customers
2024,AL,Alabama,All Technologies,TOT,all sectors,1.393,83,megawatts,number of customers
2024,AL,Alabama,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,AR,Arkansas,All Technologies,COM,commercial,132.094,1006,megawatts,number of customers
2024,AR,Arkansas,All Technologies,IND,industrial,47.86,72,megawatts,number of customers
2024,AR,Arkansas,All Technologies,RES,residential,171.861,19659,megawatts,number of customers
2024,AR,Arkansas,All Technologies,TOT,all sectors,351.815,20737,megawatts,number of customers
2024,AR,Arkansas,All Technologies,TRN,transportation,0,0,megawatts,number of customers
2024,AZ,Arizona,All Technologies,COM,commercial,656.043,5162,megawatts,number of customers
2024,AZ,Arizona,All Technologies,IND,industrial,10.48,9,megawatts,number of customers
2024,AZ,Arizona,All Technologies,RES,residential,2278.233,317286,megawatts,number of customers
2024,AZ,Arizona,All Technologies,TOT,all sectors,2944.755,322457,megawatts,number of customers
2024,AZ,Arizona,All Technologies,TRN,transportation,0,0,megawatts,number of customers
